ano,mes,tipo_despesa,valor_liquido,fornecedor,parlamentar_id
2025,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2025,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2025,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2025,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2025,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
2024,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),24700.0,,cmt-180002536459
